TERM	CLASS	DEFINITION	DEFINITION (DARWIN CORE)	DESCRIPTION	DESCRIPTION (DARWIN CORE)	CONTENT	NOTES	CONTROLLED VOCABULARY	DECISION	REFINES	DECISION DATE	RECOMMENDATION NOTES	NAMESPACE	URI (DARWIN CORE)	URI	LABEL	DATA TYPE	SORT	ISSUED	UPDATED	post_author	post_date	post_content	post_title	post_status	post_name	post_type	identifier	class	definition	description	project	label	refines	status	date_issued	date_modified	version
relationshipRemarks	ResourceRelationship	Comments or notes about the relationship between the two resources.	Comments or notes about the relationship between the two resources.	Examples: "mother and offspring collected from the same nest", "pollinator captured in the act"	Examples: "mother and offspring collected from the same nest", "pollinator captured in the act"				recommended			no - we don't use this class	Darwin Core	http://rs.tdwg.org/dwc/terms/relationshipRemarks	http://rs.tdwg.org/dwc/terms/relationshipRemarks	Relationship Remarks	string	262	2015-05-06	2015-05-06	kenny	2015-05-06		relationshipRemarks	publish	relationshipRemarks	ethocore_term	http://rs.tdwg.org/dwc/terms/relationshipRemarks	ResourceRelationship	Comments or notes about the relationship between the two resources.	Examples: "mother and offspring collected from the same nest", "pollinator captured in the act"	Darwin Core	Relationship Remarks		recommended	2015-05-06	2015-05-06	relationshipRemarks-2015-05-06
resourceID	ResourceRelationship	An identifier for the resource that is the subject of the relationship.	An identifier for the resource that is the subject of the relationship.						recommended			no - we don't use this class	Darwin Core	http://rs.tdwg.org/dwc/terms/resourceID	http://rs.tdwg.org/dwc/terms/resourceID	Resource ID	URI, URL, DOI	257	2015-05-06	2015-05-06	kenny	2015-05-06		resourceID	publish	resourceID	ethocore_term	http://rs.tdwg.org/dwc/terms/resourceID	ResourceRelationship	An identifier for the resource that is the subject of the relationship.		Darwin Core	Resource ID		recommended	2015-05-06	2015-05-06	resourceID-2015-05-06
resourceRelationshipID	ResourceRelationship	An identifier for an instance of relationship between one resource (the subject) and another (relatedResource, the object).	An identifier for an instance of relationship between one resource (the subject) and another (relatedResource, the object).						recommended			no - we don't use this class	Darwin Core	http://rs.tdwg.org/dwc/terms/resourceRelationshipID	http://rs.tdwg.org/dwc/terms/resourceRelationshipID	Resource Relationship ID	URI, URL, DOI	256	2015-05-06	2015-05-06	kenny	2015-05-06		resourceRelationshipID	publish	resourceRelationshipID	ethocore_term	http://rs.tdwg.org/dwc/terms/resourceRelationshipID	ResourceRelationship	An identifier for an instance of relationship between one resource (the subject) and another (relatedResource, the object).		Darwin Core	Resource Relationship ID		recommended	2015-05-06	2015-05-06	resourceRelationshipID-2015-05-06
dateMarked	ResourcePatch	The date during which a ResearchPatch was marked. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).							recommended				Ethogrammar		http://ethoinformatics.org/ethocore/dateMarked	Date Marked	timestamp	110	2015-05-06	2015-05-06	kenny	2015-05-06		dateMarked	publish	dateMarked	ethocore_term	http://ethoinformatics.org/ethocore/dateMarked	ResourcePatch	The date during which a ResearchPatch was marked. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).		Ethogrammar	Date Marked		recommended	2015-05-06	2015-05-06	dateMarked-2015-05-06
dateOfExpiration	ResourcePatch	The date on which a ResearchPatch disappears, dies, or otherwise ceases to exist. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).							recommended				Ethogrammar		http://ethoinformatics.org/ethocore/dateOfExpiration	Date of Expiration	timestamp	111	2015-05-06	2015-05-06	kenny	2015-05-06		dateOfExpiration	publish	dateOfExpiration	ethocore_term	http://ethoinformatics.org/ethocore/dateOfExpiration	ResourcePatch	The date on which a ResearchPatch disappears, dies, or otherwise ceases to exist. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).		Ethogrammar	Date of Expiration		recommended	2015-05-06	2015-05-06	dateOfExpiration-2015-05-06
markedBy	ResourcePatch	A list (concatenated and separated) of names of people, groups, or organizations who marked the ResourcePatch.							recommended				Ethogrammar		http://ethoinformatics.org/ethocore/markedBy	Marked By	URI, URL, DOI	112	2015-05-06	2015-05-06	kenny	2015-05-06		markedBy	publish	markedBy	ethocore_term	http://ethoinformatics.org/ethocore/markedBy	ResourcePatch	A list (concatenated and separated) of names of people, groups, or organizations who marked the ResourcePatch.		Ethogrammar	Marked By		recommended	2015-05-06	2015-05-06	markedBy-2015-05-06
resourcePatchID	ResourcePatch	An identifier for the ResearchPatch. May be a global unique identifier or an identifier specific to the data set.							recommended				Ethogrammar		http://ethoinformatics.org/ethocore/resourcePatchID	Resource Patch ID	URI, URL, DOI	105	2015-05-06	2015-05-06	kenny	2015-05-06		resourcePatchID	publish	resourcePatchID	ethocore_term	http://ethoinformatics.org/ethocore/resourcePatchID	ResourcePatch	An identifier for the ResearchPatch. May be a global unique identifier or an identifier specific to the data set.		Ethogrammar	Resource Patch ID		recommended	2015-05-06	2015-05-06	resourcePatchID-2015-05-06
resourcePatchType	ResourcePatch	The category to which the ResourcePatch belongs. Recommended best practice is to use a controlled vocabulary.		Examples: "tree", "mineral lick"				Ethogrammar Resource Patch Types	recommended				Ethogrammar		http://ethoinformatics.org/ethocore/resourcePatchType	Resource Patch Type	string	107	2015-05-06	2015-05-06	kenny	2015-05-06		resourcePatchType	publish	resourcePatchType	ethocore_term	http://ethoinformatics.org/ethocore/resourcePatchType	ResourcePatch	The category to which the ResourcePatch belongs. Recommended best practice is to use a controlled vocabulary.	Examples: "tree", "mineral lick"	Ethogrammar	Resource Patch Type		recommended	2015-05-06	2015-05-06	resourcePatchType-2015-05-06
resourcePatchName	ResourcePatch	The given name for the ResourcePatch.							recommended	http://rs.tdwg.org/dwc/terms/organismName	3/12/2015		Ethogrammar		http://ethoinformatics.org/ethocore/resourcePatchName	Resource Patch Name	string	106	2015-05-06	2015-05-06	kenny	2015-05-06		resourcePatchName	publish	resourcePatchName	ethocore_term	http://ethoinformatics.org/ethocore/resourcePatchName	ResourcePatch	The given name for the ResourcePatch.		Ethogrammar	Resource Patch Name	http://rs.tdwg.org/dwc/terms/organismName	recommended	2015-05-06	2015-05-06	resourcePatchName-2015-05-06
resourcePatchUse	ResourcePatch	The primary manner in which the ResourcePatch is used by study subjects. Recommended best practice is to use a controlled vocabulary.		Examples: "feeding", "sleeping"				Ethogrammar Research Patch Uses	recommended				Ethogrammar		http://ethoinformatics.org/ethocore/resourcePatchUse	Resource Patch Use	string	108	2015-05-06	2015-05-06	kenny	2015-05-06		resourcePatchUse	publish	resourcePatchUse	ethocore_term	http://ethoinformatics.org/ethocore/resourcePatchUse	ResourcePatch	The primary manner in which the ResourcePatch is used by study subjects. Recommended best practice is to use a controlled vocabulary.	Examples: "feeding", "sleeping"	Ethogrammar	Resource Patch Use		recommended	2015-05-06	2015-05-06	resourcePatchUse-2015-05-06
timeMarked	ResourcePatch	The time during which a ResearchPatch was marked. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).							recommended				Ethogrammar		http://ethoinformatics.org/ethocore/timeMarked	Time Marked	timestamp	109	2015-05-06	2015-05-06	kenny	2015-05-06		timeMarked	publish	timeMarked	ethocore_term	http://ethoinformatics.org/ethocore/timeMarked	ResourcePatch	The time during which a ResearchPatch was marked. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).		Ethogrammar	Time Marked		recommended	2015-05-06	2015-05-06	timeMarked-2015-05-06
resourcePatchRemarks	ResourcePatch	Comments or notes about the ResourcePatch.							recommended	http://rs.tdwg.org/dwc/terms/organismRemarks	3/12/2015		Ethogrammar		http://ethoinformatics.org/ethocore/resourcePatchRemarks	Resource Patch Remarks	string	113	2015-05-06	2015-05-06	kenny	2015-05-06		resourcePatchRemarks	publish	resourcePatchRemarks	ethocore_term	http://ethoinformatics.org/ethocore/resourcePatchRemarks	ResourcePatch	Comments or notes about the ResourcePatch.		Ethogrammar	Resource Patch Remarks	http://rs.tdwg.org/dwc/terms/organismRemarks	recommended	2015-05-06	2015-05-06	resourcePatchRemarks-2015-05-06
acceptedNameUsage	Taxon	The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) taxon.	The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) taxon.	Example: "Tamias minimus" valid name for "Eutamias minimus"	Example: "Tamias minimus" valid name for "Eutamias minimus"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/acceptedNameUsage	http://rs.tdwg.org/dwc/terms/acceptedNameUsage	Accepted Name Usage	string	227	2015-05-06	2015-05-06	kenny	2015-05-06		acceptedNameUsage	publish	acceptedNameUsage	ethocore_term	http://rs.tdwg.org/dwc/terms/acceptedNameUsage	Taxon	The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) taxon.	Example: "Tamias minimus" valid name for "Eutamias minimus"	Darwin Core	Accepted Name Usage		recommended	2015-05-06	2015-05-06	acceptedNameUsage-2015-05-06
acceptedNameUsageID	Taxon	An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.	An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.	Example: "8fa58e08-08de-4ac1-b69c-1235340b7001"	Example: "8fa58e08-08de-4ac1-b69c-1235340b7001"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/acceptedNameUsageID	http://rs.tdwg.org/dwc/terms/acceptedNameUsageID	Accepted Name Usage ID	URI, URL, DOI	220	2015-05-06	2015-05-06	kenny	2015-05-06		acceptedNameUsageID	publish	acceptedNameUsageID	ethocore_term	http://rs.tdwg.org/dwc/terms/acceptedNameUsageID	Taxon	An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.	Example: "8fa58e08-08de-4ac1-b69c-1235340b7001"	Darwin Core	Accepted Name Usage ID		recommended	2015-05-06	2015-05-06	acceptedNameUsageID-2015-05-06
class	Taxon	The full scientific name of the class in which the taxon is classified.	The full scientific name of the class in which the taxon is classified.	Examples: "Mammalia", "Hepaticopsida"	Examples: "Mammalia", "Hepaticopsida"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/class	http://rs.tdwg.org/dwc/terms/class	Class	string	236	2015-05-06	2015-05-06	kenny	2015-05-06		class	publish	class	ethocore_term	http://rs.tdwg.org/dwc/terms/class	Taxon	The full scientific name of the class in which the taxon is classified.	Examples: "Mammalia", "Hepaticopsida"	Darwin Core	Class		recommended	2015-05-06	2015-05-06	class-2015-05-06
family	Taxon	The full scientific name of the family in which the taxon is classified.	The full scientific name of the family in which the taxon is classified.	Examples: "Felidae", "Monocleaceae"	Examples: "Felidae", "Monocleaceae"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/family	http://rs.tdwg.org/dwc/terms/family	Family	string	238	2015-05-06	2015-05-06	kenny	2015-05-06		family	publish	family	ethocore_term	http://rs.tdwg.org/dwc/terms/family	Taxon	The full scientific name of the family in which the taxon is classified.	Examples: "Felidae", "Monocleaceae"	Darwin Core	Family		recommended	2015-05-06	2015-05-06	family-2015-05-06
genus	Taxon	The full scientific name of the genus in which the taxon is classified.	The full scientific name of the genus in which the taxon is classified.	Examples: "Puma", "Monoclea"	Examples: "Puma", "Monoclea"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/genus	http://rs.tdwg.org/dwc/terms/genus	Genus	string	239	2015-05-06	2015-05-06	kenny	2015-05-06		genus	publish	genus	ethocore_term	http://rs.tdwg.org/dwc/terms/genus	Taxon	The full scientific name of the genus in which the taxon is classified.	Examples: "Puma", "Monoclea"	Darwin Core	Genus		recommended	2015-05-06	2015-05-06	genus-2015-05-06
higherClassification	Taxon	A list (concatenated and separated) of taxa names terminating at the rank immediately superior to the taxon referenced in the taxon record. Recommended best practice is to order the list starting with the highest rank and separating the names for each rank with a semi-colon (";").	A list (concatenated and separated) of taxa names terminating at the rank immediately superior to the taxon referenced in the taxon record. Recommended best practice is to order the list starting with the highest rank and separating the names for each rank with a semi-colon (";").	Example: "Animalia;Chordata;Vertebrata;Mammalia;Theria;Eutheria;Rodentia;Hystricognatha;Hystricognathi;Ctenomyidae;Ctenomyini;Ctenomys"	Example: "Animalia;Chordata;Vertebrata;Mammalia;Theria;Eutheria;Rodentia;Hystricognatha;Hystricognathi;Ctenomyidae;Ctenomyini;Ctenomys"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/higherClassification	http://rs.tdwg.org/dwc/terms/higherClassification	Higher Classification	string	233	2015-05-06	2015-05-06	kenny	2015-05-06		higherClassification	publish	higherClassification	ethocore_term	http://rs.tdwg.org/dwc/terms/higherClassification	Taxon	A list (concatenated and separated) of taxa names terminating at the rank immediately superior to the taxon referenced in the taxon record. Recommended best practice is to order the list starting with the highest rank and separating the names for each rank with a semi-colon (";").	Example: "Animalia;Chordata;Vertebrata;Mammalia;Theria;Eutheria;Rodentia;Hystricognatha;Hystricognathi;Ctenomyidae;Ctenomyini;Ctenomys"	Darwin Core	Higher Classification		recommended	2015-05-06	2015-05-06	higherClassification-2015-05-06
infraspecificEpithet	Taxon	The name of the lowest or terminal infraspecific epithet of the scientificName, excluding any rank designation.	The name of the lowest or terminal infraspecific epithet of the scientificName, excluding any rank designation.	Examples: "concolor", "oxyadenia", "sayi"	Examples: "concolor", "oxyadenia", "sayi"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/infraspecificEpithet	http://rs.tdwg.org/dwc/terms/infraspecificEpithet	Infraspecific Epithet	string	242	2015-05-06	2015-05-06	kenny	2015-05-06		infraspecificEpithet	publish	infraspecificEpithet	ethocore_term	http://rs.tdwg.org/dwc/terms/infraspecificEpithet	Taxon	The name of the lowest or terminal infraspecific epithet of the scientificName, excluding any rank designation.	Examples: "concolor", "oxyadenia", "sayi"	Darwin Core	Infraspecific Epithet		recommended	2015-05-06	2015-05-06	infraspecificEpithet-2015-05-06
kingdom	Taxon	The full scientific name of the kingdom in which the taxon is classified.	The full scientific name of the kingdom in which the taxon is classified.	Examples: "Animalia", "Plantae"	Examples: "Animalia", "Plantae"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/kingdom	http://rs.tdwg.org/dwc/terms/kingdom	Kingdom	string	234	2015-05-06	2015-05-06	kenny	2015-05-06		kingdom	publish	kingdom	ethocore_term	http://rs.tdwg.org/dwc/terms/kingdom	Taxon	The full scientific name of the kingdom in which the taxon is classified.	Examples: "Animalia", "Plantae"	Darwin Core	Kingdom		recommended	2015-05-06	2015-05-06	kingdom-2015-05-06
nameAccordingTo	Taxon	The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin "sensu" or "sec." (from secundum, meaning "according to"). For taxa that result from identifications, a reference to the keys, monographs, experts and other sources should be given.	The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin "sensu" or "sec." (from secundum, meaning "according to"). For taxa that result from identifications, a reference to the keys, monographs, experts and other sources should be given.	Example: "McCranie, J. R., D. B. Wake, and L. D. Wilson. 1996. The taxonomic status of Bolitoglossa schmidti, with comments on the biology of the Mesoamerican salamander Bolitoglossa dofleini (Caudata: Plethodontidae). Carib. J. Sci. 32:395-398.", "Werner Greuter 2008", "Lilljeborg 1861, Upsala Univ. Arsskrift, Math. Naturvet., pp. 4, 5"	Example: "McCranie, J. R., D. B. Wake, and L. D. Wilson. 1996. The taxonomic status of Bolitoglossa schmidti, with comments on the biology of the Mesoamerican salamander Bolitoglossa dofleini (Caudata: Plethodontidae). Carib. J. Sci. 32:395-398.", "Werner Greuter 2008", "Lilljeborg 1861, Upsala Univ. Arsskrift, Math. Naturvet., pp. 4, 5"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/nameAccordingTo	http://rs.tdwg.org/dwc/terms/nameAccordingTo	Name According To	string	230	2015-05-06	2015-05-06	kenny	2015-05-06		nameAccordingTo	publish	nameAccordingTo	ethocore_term	http://rs.tdwg.org/dwc/terms/nameAccordingTo	Taxon	The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin "sensu" or "sec." (from secundum, meaning "according to"). For taxa that result from identifications, a reference to the keys, monographs, experts and other sources should be given.	Example: "McCranie, J. R., D. B. Wake, and L. D. Wilson. 1996. The taxonomic status of Bolitoglossa schmidti, with comments on the biology of the Mesoamerican salamander Bolitoglossa dofleini (Caudata: Plethodontidae). Carib. J. Sci. 32:395-398.", "Werner Greuter 2008", "Lilljeborg 1861, Upsala Univ. Arsskrift, Math. Naturvet., pp. 4, 5"	Darwin Core	Name According To		recommended	2015-05-06	2015-05-06	nameAccordingTo-2015-05-06
nameAccordingToID	Taxon	An identifier for the source in which the specific taxon concept circumscription is defined or implied. See nameAccordingTo.	An identifier for the source in which the specific taxon concept circumscription is defined or implied. See nameAccordingTo.	Example: "doi:10.1016/S0269-915X(97)80026-2"	Example: "doi:10.1016/S0269-915X(97)80026-2"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/nameAccordingToID	http://rs.tdwg.org/dwc/terms/nameAccordingToID	Name According To ID	URI, URL, DOI	223	2015-05-06	2015-05-06	kenny	2015-05-06		nameAccordingToID	publish	nameAccordingToID	ethocore_term	http://rs.tdwg.org/dwc/terms/nameAccordingToID	Taxon	An identifier for the source in which the specific taxon concept circumscription is defined or implied. See nameAccordingTo.	Example: "doi:10.1016/S0269-915X(97)80026-2"	Darwin Core	Name According To ID		recommended	2015-05-06	2015-05-06	nameAccordingToID-2015-05-06
namePublishedIn	Taxon	A reference for the publication in which the scientificName was originally established under the rules of the associated nomenclaturalCode.	A reference for the publication in which the scientificName was originally established under the rules of the associated nomenclaturalCode.	Examples: "Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388", "Forel, Auguste, Diagnosies provisoires de quelques espèces nouvelles de fourmis de Madagascar, récoltées par M. Grandidier., Annales de la Societe Entomologique de Belgique, Comptes-rendus des Seances 30, 1886"	Examples: "Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388", "Forel, Auguste, Diagnosies provisoires de quelques espèces nouvelles de fourmis de Madagascar, récoltées par M. Grandidier., Annales de la Societe Entomologique de Belgique, Comptes-rendus des Seances 30, 1886"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/namePublishedIn	http://rs.tdwg.org/dwc/terms/namePublishedIn	Name Published In	string	231	2015-05-06	2015-05-06	kenny	2015-05-06		namePublishedIn	publish	namePublishedIn	ethocore_term	http://rs.tdwg.org/dwc/terms/namePublishedIn	Taxon	A reference for the publication in which the scientificName was originally established under the rules of the associated nomenclaturalCode.	Examples: "Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388", "Forel, Auguste, Diagnosies provisoires de quelques espèces nouvelles de fourmis de Madagascar, récoltées par M. Grandidier., Annales de la Societe Entomologique de Belgique, Comptes-rendus des Seances 30, 1886"	Darwin Core	Name Published In		recommended	2015-05-06	2015-05-06	namePublishedIn-2015-05-06
namePublishedInID	Taxon	An identifier for the publication in which the scientificName was originally established under the rules of the associated nomenclaturalCode.	An identifier for the publication in which the scientificName was originally established under the rules of the associated nomenclaturalCode.	Example: "http://hdl.handle.net/10199/7"	Example: "http://hdl.handle.net/10199/7"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/namePublishedInID	http://rs.tdwg.org/dwc/terms/namePublishedInID	Name Published In ID	URI, URL, DOI	224	2015-05-06	2015-05-06	kenny	2015-05-06		namePublishedInID	publish	namePublishedInID	ethocore_term	http://rs.tdwg.org/dwc/terms/namePublishedInID	Taxon	An identifier for the publication in which the scientificName was originally established under the rules of the associated nomenclaturalCode.	Example: "http://hdl.handle.net/10199/7"	Darwin Core	Name Published In ID		recommended	2015-05-06	2015-05-06	namePublishedInID-2015-05-06
namePublishedInYear	Taxon	The four-digit year in which the scientificName was published.	The four-digit year in which the scientificName was published.	Examples: "1915", "2008"	Examples: "1915", "2008"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/namePublishedInYear	http://rs.tdwg.org/dwc/terms/namePublishedInYear	Name Published In Year	string	232	2015-05-06	2015-05-06	kenny	2015-05-06		namePublishedInYear	publish	namePublishedInYear	ethocore_term	http://rs.tdwg.org/dwc/terms/namePublishedInYear	Taxon	The four-digit year in which the scientificName was published.	Examples: "1915", "2008"	Darwin Core	Name Published In Year		recommended	2015-05-06	2015-05-06	namePublishedInYear-2015-05-06
nomenclaturalCode	Taxon	The nomenclatural code (or codes in the case of an ambiregnal name) under which the scientificName is constructed. Recommended best practice is to use a controlled vocabulary.	The nomenclatural code (or codes in the case of an ambiregnal name) under which the scientificName is constructed. Recommended best practice is to use a controlled vocabulary.	Examples: "ICBN", "ICZN", "BC", "ICNCP", "BioCode", "ICZN; ICBN"	Examples: "ICBN", "ICZN", "BC", "ICNCP", "BioCode", "ICZN; ICBN"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/nomenclaturalCode	http://rs.tdwg.org/dwc/terms/nomenclaturalCode	Nomenclatural Code	string	247	2015-05-06	2015-05-06	kenny	2015-05-06		nomenclaturalCode	publish	nomenclaturalCode	ethocore_term	http://rs.tdwg.org/dwc/terms/nomenclaturalCode	Taxon	The nomenclatural code (or codes in the case of an ambiregnal name) under which the scientificName is constructed. Recommended best practice is to use a controlled vocabulary.	Examples: "ICBN", "ICZN", "BC", "ICNCP", "BioCode", "ICZN; ICBN"	Darwin Core	Nomenclatural Code		recommended	2015-05-06	2015-05-06	nomenclaturalCode-2015-05-06
nomenclaturalStatus	Taxon	The status related to the original publication of the name and its conformance to the relevant rules of nomenclature. It is based essentially on an algorithm according to the business rules of the code.  It requires no taxonomic opinion.	The status related to the original publication of the name and its conformance to the relevant rules of nomenclature. It is based essentially on an algorithm according to the business rules of the code.  It requires no taxonomic opinion.	Examples: "nom. ambig.", "nom. illeg.", "nom. subnud."	Examples: "nom. ambig.", "nom. illeg.", "nom. subnud."				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/nomenclaturalStatus	http://rs.tdwg.org/dwc/terms/nomenclaturalStatus	Nomenclatural Status	string	249	2015-05-06	2015-05-06	kenny	2015-05-06		nomenclaturalStatus	publish	nomenclaturalStatus	ethocore_term	http://rs.tdwg.org/dwc/terms/nomenclaturalStatus	Taxon	The status related to the original publication of the name and its conformance to the relevant rules of nomenclature. It is based essentially on an algorithm according to the business rules of the code.  It requires no taxonomic opinion.	Examples: "nom. ambig.", "nom. illeg.", "nom. subnud."	Darwin Core	Nomenclatural Status		recommended	2015-05-06	2015-05-06	nomenclaturalStatus-2015-05-06
order	Taxon	The full scientific name of the order in which the taxon is classified.	The full scientific name of the order in which the taxon is classified.	Examples: "Carnivora", "Monocleales"	Examples: "Carnivora", "Monocleales"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/order	http://rs.tdwg.org/dwc/terms/order	Order	string	237	2015-05-06	2015-05-06	kenny	2015-05-06		order	publish	order	ethocore_term	http://rs.tdwg.org/dwc/terms/order	Taxon	The full scientific name of the order in which the taxon is classified.	Examples: "Carnivora", "Monocleales"	Darwin Core	Order		recommended	2015-05-06	2015-05-06	order-2015-05-06
originalNameUsage	Taxon	The taxon name, with authorship and date information if known, as it originally appeared when first established under the rules of the associated nomenclaturalCode. The basionym (botany) or basonym (bacteriology) of the scientificName or the senior/earlier homonym for replaced names.	The taxon name, with authorship and date information if known, as it originally appeared when first established under the rules of the associated nomenclaturalCode. The basionym (botany) or basonym (bacteriology) of the scientificName or the senior/earlier homonym for replaced names.	Examples: "Pinus abies", "Gasterosteus saltatrix Linnaeus 1768"	Examples: "Pinus abies", "Gasterosteus saltatrix Linnaeus 1768"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/originalNameUsage	http://rs.tdwg.org/dwc/terms/originalNameUsage	Original Name Usage	string	229	2015-05-06	2015-05-06	kenny	2015-05-06		originalNameUsage	publish	originalNameUsage	ethocore_term	http://rs.tdwg.org/dwc/terms/originalNameUsage	Taxon	The taxon name, with authorship and date information if known, as it originally appeared when first established under the rules of the associated nomenclaturalCode. The basionym (botany) or basonym (bacteriology) of the scientificName or the senior/earlier homonym for replaced names.	Examples: "Pinus abies", "Gasterosteus saltatrix Linnaeus 1768"	Darwin Core	Original Name Usage		recommended	2015-05-06	2015-05-06	originalNameUsage-2015-05-06
originalNameUsageID	Taxon	An identifier for the name usage (documented meaning of the name according to a source) in which the terminal element of the scientificName was originally established under the rules of the associated nomenclaturalCode.	An identifier for the name usage (documented meaning of the name according to a source) in which the terminal element of the scientificName was originally established under the rules of the associated nomenclaturalCode.	Example: "http://species.gbif.org/abies_alba_1753"	Example: "http://species.gbif.org/abies_alba_1753"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/originalNameUsageID	http://rs.tdwg.org/dwc/terms/originalNameUsageID	Original Name Usage ID	URI, URL, DOI	222	2015-05-06	2015-05-06	kenny	2015-05-06		originalNameUsageID	publish	originalNameUsageID	ethocore_term	http://rs.tdwg.org/dwc/terms/originalNameUsageID	Taxon	An identifier for the name usage (documented meaning of the name according to a source) in which the terminal element of the scientificName was originally established under the rules of the associated nomenclaturalCode.	Example: "http://species.gbif.org/abies_alba_1753"	Darwin Core	Original Name Usage ID		recommended	2015-05-06	2015-05-06	originalNameUsageID-2015-05-06
parentNameUsage	Taxon	The full name, with authorship and date information if known, of the direct, most proximate higher-rank parent taxon (in a classification) of the most specific element of the scientificName.	The full name, with authorship and date information if known, of the direct, most proximate higher-rank parent taxon (in a classification) of the most specific element of the scientificName.	Examples: "Rubiaceae", "Gruiformes", "Testudinae"	Examples: "Rubiaceae", "Gruiformes", "Testudinae"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/parentNameUsage	http://rs.tdwg.org/dwc/terms/parentNameUsage	Parent Name Usage	string	228	2015-05-06	2015-05-06	kenny	2015-05-06		parentNameUsage	publish	parentNameUsage	ethocore_term	http://rs.tdwg.org/dwc/terms/parentNameUsage	Taxon	The full name, with authorship and date information if known, of the direct, most proximate higher-rank parent taxon (in a classification) of the most specific element of the scientificName.	Examples: "Rubiaceae", "Gruiformes", "Testudinae"	Darwin Core	Parent Name Usage		recommended	2015-05-06	2015-05-06	parentNameUsage-2015-05-06
parentNameUsageID	Taxon	An identifier for the name usage (documented meaning of the name according to a source) of the direct, most proximate higher-rank parent taxon (in a classification) of the most specific element of the scientificName.	An identifier for the name usage (documented meaning of the name according to a source) of the direct, most proximate higher-rank parent taxon (in a classification) of the most specific element of the scientificName.	Example: "8fa58e08-08de-4ac1-b69c-1235340b7001"	Example: "8fa58e08-08de-4ac1-b69c-1235340b7001"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/parentNameUsageID	http://rs.tdwg.org/dwc/terms/parentNameUsageID	Parent Name Usage ID	URI, URL, DOI	221	2015-05-06	2015-05-06	kenny	2015-05-06		parentNameUsageID	publish	parentNameUsageID	ethocore_term	http://rs.tdwg.org/dwc/terms/parentNameUsageID	Taxon	An identifier for the name usage (documented meaning of the name according to a source) of the direct, most proximate higher-rank parent taxon (in a classification) of the most specific element of the scientificName.	Example: "8fa58e08-08de-4ac1-b69c-1235340b7001"	Darwin Core	Parent Name Usage ID		recommended	2015-05-06	2015-05-06	parentNameUsageID-2015-05-06
phylum	Taxon	The full scientific name of the phylum or division in which the taxon is classified.	The full scientific name of the phylum or division in which the taxon is classified.	Examples: "Chordata" (phylum), "Bryophyta" (division)	Examples: "Chordata" (phylum), "Bryophyta" (division)				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/phylum	http://rs.tdwg.org/dwc/terms/phylum	Phylum	string	235	2015-05-06	2015-05-06	kenny	2015-05-06		phylum	publish	phylum	ethocore_term	http://rs.tdwg.org/dwc/terms/phylum	Taxon	The full scientific name of the phylum or division in which the taxon is classified.	Examples: "Chordata" (phylum), "Bryophyta" (division)	Darwin Core	Phylum		recommended	2015-05-06	2015-05-06	phylum-2015-05-06
